title,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"Air Canada - $446: Washington D.C. / Baltimore - Copenhagen, Denmark. Roundtrip, including all Taxes",446,0,"/mid January, 2017 - March, 2017",8502,DCA - YYZ (Toronto) - CPH (Copenhagen) - YYZ - DCA,"<li>Valid for travel on the outbound from mid January, 2017 - March, 2017. Must purchase at least 90 days in advance of departure</li>",23 Sep 2016,Air Canada
"Virgin Atlantic - $702: Washington D.C. / Boston / Miami / New York - Johannesburg, South Africa. Roundtrip, including all Taxes",702,0,"/November - early December/January, 2017 - March, 2017",18600,IAD - LHR (London) - JNB (Johannesburg) - LHR - IAD,"<li>Valid for travel on the outbound from November - early December or January, 2017 - March, 2017. Must purchase at least 14 days in advance of departure</li>",20 Sep 2016,Virgin Atlantic
"jetBlue - $191: New York - Aguadilla / Ponce, Puerto Rico. Roundtrip, including all Taxes",191,0,"/Sep 20 2016 - January, 2017",3152,JFK - BQN (Aguadilla) - JFK,"<li>Valid for travel until January, 2017. Blackout dates around the holidays. Must purchase at least 7 days in advance of departure</li>",20 Sep 2016,jetBlue
"United / Delta - $438: Chicago - Amsterdam, Netherlands. Roundtrip, including all Taxes",438,0,"/January, 2017 - March, 2017",8212,ORD - AMS (Amsterdam) - ORD,"<li>Valid for travel on the outbound from January, 2017 - March, 2017. A 7 day minimum stay is required. Must purchase at least 3 days in advance of departure</li>",20 Sep 2016,United / Delta
"United - $493: Los Angeles - Taipei, Taiwan. Roundtrip, including all Taxes",493,0,/late October - early December,13588,LAX - NRT (Tokyo) - TPE (Taipei) - NRT - SFO (San Francisco) - LAX,<li>Valid for travel on the outbound from late October - early December for Monday through Thursday departures and returns. Must purchase at least 30 days in advance of departure.</li>,20 Sep 2016,United
"American - $106: Philadelphia - Dallas (and vice versa). Roundtrip, including all Taxes",106,1,/Sep 20 2016 - early November,2600,DFW (Dallas) - PHL - DFW (Dallas)/PHL - DFW (Dallas) - PHL,"<li>Valid for travel until early November for Tuesday, Wednesday and Saturday departures and returns. Availability is limited. Must purchase at least 7 days in advance of departure and by <strong>September 20th (TODAY)</strong></li>",20 Sep 2016,American
"American - $312: Seattle - Mexico City, Mexico. Roundtrip, including all Taxes",312,0,"/Sep 20 2016 - November/January, 2017 - March, 2017",5190,SEA - DFW (Dallas) - MEX (Mexico City) - DFW - SEA,"<li>Valid for travel until November or January, 2017 - March, 2017. Availability is extremely limited. Must purchase at least 7 days in advance of departure</li>",20 Sep 2016,American
"American - $261: Boston - Phoenix (and vice versa). Roundtrip, including all Taxes",261,1,/Sep 20 2016 - early December,4600,BOS (Boston) - ORD (Chicago) - PHX - ORD - BOS (Boston)/PHX - ORD (Chicago) - BOS (Boston) - ORD - PHX,<li>Valid for travel until early December. Must purchase at least 14 days in advance of departure</li>,20 Sep 2016,American
"United - $126: Portland - Chicago (and vice versa). Roundtrip, including all Taxes",126,1,/late October - early November,3484,ORD (Chicago) - PDX - ORD (Chicago)/PDX - ORD (Chicago) - PDX,"<li>Valid for travel from late October - early November for Tuesday, Wednesday and Saturday departure and returns. Availability is limited. Must purchase at least 7 days in advance of departure and by <strong>September 20th (TODAY)<br>
</strong></li>",20 Sep 2016,United
"Virgin Atlantic - $777: San Francisco / Los Angeles - Johannesburg, South Africa. Roundtrip, including all Taxes",777,0,"/November - early December/January, 2017 - March, 2017",21972,SFO - LHR (London) - JNB (Johannesburg) - LHR - SFO,"<li>Valid for travel on the outbound from November - early December or January, 2017 - March, 2017. Must purchase at least 14 days in advance of departure</li>",20 Sep 2016,Virgin Atlantic
"Delta - $533: Washington D.C. / Chicago / San Francisco - Manila, Philippines. Roundtrip, including all Taxes",533,0,/Sep 21 2016 - October 29th,17500,DCA - MSP (Minneapolis) - NRT (Tokyo) - MNL (Manila) - NRT - MSP - DCA,<li>Valid for travel until October 29th for Monday through Thursday departure and returns. Must purchase at least 1 day in advance of departure</li>,21 Sep 2016,Delta
"jetBlue - $276: New York - Palm Springs, California (and vice versa). Roundtrip, including all Taxes",276,1,"/November - January, 2017",4744,PSP (Palm Springs) - JFK - PSP (Palm Springs)/JFK - PSP (Palm Springs) - JFK,"<li>Valid for travel from November - January, 2017. Availability is limited. Must purchase at least 14 days in advance of departure and by <strong>September 21st (TODAY)</strong></li>",21 Sep 2016,jetBlue
"United - $86: Boston - Chicago (and vice versa). Roundtrip, including all Taxes",86,1,/Sep 21 2016 - early November,1728,ORD (Chicago) - BOS - ORD (Chicago)/BOS - ORD (Chicago) - BOS,"<li>Valid for travel until early November for Tuesday, Wednesday and Saturday departure and returns. Availability is limited. Must purchase at least 21 days in advance of departure</li>",21 Sep 2016,United
"[FARE GONE] Air France / KLM - From $257: Canada - Spain. Roundtrip, including all Taxes",257,0,"/Sep 21 2016 - early December/January, 2017 - early June, 2017",8788,YYZ - CDG (Paris) - BCN (Barcelona) - AMS (Amsterdam) - YYZ,"<li>Valid for travel on the outbound until early December or January, 2017 - early June, 2017 for Sunday through Thursday departure and returns. Availability is limited. Must purchase at least 7 days in advance of departure</li>",21 Sep 2016,Air France / KLM
"Delta - $683: Los Angeles - Athens, Greece. Roundtrip, including all Taxes",683,0,/Sep 21 2016 - October,14788,LAX - JFK (New York) - ATH (Athens) - JFK - LAX,<li>Valid for travel on the outbound until October. Must purchase at least 1 day in advance of departure</li>,21 Sep 2016,Delta
"United - $123: Philadelphia - New Orleans (and vice versa). Roundtrip, including all Taxes",123,1,/Sep 21 2016 - early December,3254,MSY (New Orleans) - IAH (Houston) - PHL - IAH - MSY (New Orleans)/PHL - IAH (Houston) - MSY (New Orleans) - IAH - PHL,<li>Valid for travel until early December. Must purchase at least 7 days in advance of departure</li>,21 Sep 2016,United
"All Nippon Airways - $559: New York / Newark - Jakarta, Indonesia. Roundtrip, including all Taxes",559,0,/Sep 18 2016 - early December,20683,EWR - NRT (Tokyo - Narita) - CGK (Jakarta) - HND (Tokyo - Haneda) - JFK,<li>Valid for travel on the outbound until early December. Must purchase at least 3 days in advance of departure.</li>,18 Sep 2016,All Nippon Airways
"United - $136: Boston - Houston (and vice versa). Roundtrip, including all Taxes",136,1,"/Sep 18 2016 - mid December/January, 2017 - early March, 2017",3204,IAH (Houston) - BOS - IAH (Houston)/BOS - IAH (Houston) - BOS,"<li>Valid for travel until mid December or January, 2017 - early March, 2017. Availability is limited. Must purchase at least 14 days in advance of departure</li>",18 Sep 2016,United
"United - $96: Los Angeles - Chicago (and vice versa). Roundtrip, including all Taxes",96,1,/late October - mid November,3480,ORD (Chicago) - LAX - ORD (Chicago)/LAX - ORD (Chicago) - LAX,<li>Valid for travel from late October - mid November. Availability is limited. Must purchase at least 14 days in advance of departure</li>,18 Sep 2016,United
"Qatar Airways - $863: Miami - The Maldives. Roundtrip, including all Taxes",863,0,"/Sep 18 2016 - November/January, 2017 - May, 2017",19442,"MIA - DOH (Doha) - MLE (Male, Maldives) - DOH - MIA","<li>Valid for travel on the outbound until November or January, 2017 - May, 2017 for Sunday through Wednesday departures and Monday through Thursday returns. A 7 day minimum stay is required. Must purchase at least 3 days in advance of departure</li>",18 Sep 2016,Qatar Airways
"United - $303: Portland / Seattle / Phoenix - Portland, Maine (and vice versa). Roundtrip, including all Taxes",303,1,"/Sep 18 2016 - mid February, 2017",5398,"PWM (Portland, Maine) - EWR (Newark) - PDX - EWR - PWM (Portland, Maine)/PDX - EWR (Newark) - PWM (Portland, Maine) - EWR - PDX","<li><strong>Portland, Oregon / Phoenix</strong>: Valid for travel until mid February, 2017 for Tuesday, Wednesday and Saturday departure and returns. Blackout dates around the holidays. Availability is limited. Must purchase at least 14 days in advance of departure</li>",18 Sep 2016,United
"The Shorthaul - United - $136: San Francisco - Denver (and vice versa). Roundtrip, including all Taxes",136,1,/Sep 18 2016 - October,1928,DEN (Denver) - SFO - DEN (Denver)/SFO - DEN (Denver) - SFO,"<li>Valid for travel until October. Must purchase at least 21 days in advance of departure and by <strong>September 18th (TODAY)<br>
</strong></li>",18 Sep 2016,United
"American - $720: Dallas  - Taipei, Taiwan. Roundtrip, including all Taxes",720,0,/Sep 18 2016 - mid November,15526,DFW - NRT (Tokyo) - TPE (Taipei) - NRT - DFW,<li>Valid for travel on the outbound until mid November or early December for Monday through Thursday departures and returns. A 7 day minimum stay is required. Must purchase at least 7 day in advance of departure.</li>,18 Sep 2016,American
"The Shorthaul - jetBlue - $106: New York - Portland, Maine (and vice versa). Roundtrip, including all Taxes",106,1,"/Sep 18 2016 - April, 2017",546,"PWM (Portland, Maine) - JFK - PWM (Portland, Maine)/JFK - PWM (Portland, Maine) - JFK","<li>Valid for travel until April, 2017. Availability is limited. Must purchase at least 21 days in advance of departure</li>",18 Sep 2016,jetBlue
"American - $291: San Francisco - Philadelphia (and vice versa). Roundtrip, including all Taxes",291,1,"/early December/January, 2017 - February, 2017",5038,PHL (Philadelphia) - ORD (Chicago) - PHL - ORD - PHL (Philadelphia)/PHL - ORD (Chicago) - PHL (Philadelphia) - ORD - PHL,"<li>Valid for travel in early December or January, 2017 - February, 2017 for Tuesday, Wednesday and Saturday departures and returns. Must purchase at least 14 days in advance of departure</li>",18 Sep 2016,American
"Delta - $746: Washington D.C. / Boston / Chicago - Bali, Indonesia. Roundtrip, including all Taxes",746,0,"/late October - early December/January, 2017 - March, 2017",20588,DCA - DTW (Detroit) - ICN (Seoul) - DPS (Bali - Denpasar) - ICN - DTW - DCA,"<li>Valid for travel on the outbound from late October - early December or January, 2017 - March, 2017. Must purchase at least 3 days in advance of departure</li>",19 Sep 2016,Delta
"Emirates - $869: New York - The Maldives. Roundtrip, including all Taxes",869,0,/October - November,17442,"JFK - DXB (Dubai) - MLE (Male, Maldives) - DXB (Dubai) - JFK","<li>Valid for travel on the outbound from October - November or January, 2017 with a 7 day minimum stay for Sunday through Wednesday departures from the United States and Monday through Thursday departures to the United States. Must purchase at least 3 days in advance of departure</li>",19 Sep 2016,Emirates
"jetBlue - $164: Fort Lauderdale - Barbados. Roundtrip, including all Taxes",164,0,/Sep 19 2016 - mid November,3224,FLL - BGI (Barbados) - FLL,<li>Valid for travel until mid November. Availability is limited. Must purchase at least 14 days in advance of departure</li>,19 Sep 2016,jetBlue
"United - $86: Los Angeles - Denver (and vice versa). Roundtrip, including all Taxes",86,1,/Sep 19 2016 - mid November,1720,DEN (Denver) - LAX - DEN (Denver)/LAX - DEN (Denver) - LAX,<li>Valid for travel until mid November. Availability is limited. Must purchase at least 21 days in advance of departure</li>,19 Sep 2016,United
"Delta - $731: Seattle / Dallas / Phoenix - Bali, Indonesia. Roundtrip, including all Taxes",731,0,"/late October - early December/January, 2017 - March, 2017",16956,SEA - ICN (Seoul) - DPS (Bali - Denpasar) - ICN - SEA,"<li>Valid for travel on the outbound from late October - early December or January, 2017 - March, 2017. Must purchase at least 3 days in advance of departure</li>",19 Sep 2016,Delta
"American - $236: Philadelphia - Las Vegas (and vice versa). Roundtrip, including all Taxes",236,1,/October,4342,LAS (Las Vegas Vegas) - PHL - LAS (Las Vegas Vegas)/PHL - LAS (Las Vegas Vegas) - PHL,"<li>Valid for travel in October for Tuesday, Wednesday and Saturday departures and returns. Availability is limited. Must purchase at least 14 days in advance of departure</li>",19 Sep 2016,American
"American - $70: Philadelphia - Minneapolis / Detroit (and vice versa). Roundtrip, including all Taxes",70,1,/Sep 16 2016 - early November,1956,MSP (Minneapolis) - PHL - MSP (Minneapolis)/PHL - MSP (Minneapolis) - PHL,<li>Valid for travel until early November. Availability is limited. Must purchase at least 14 days in advance of departure</li>,16 Sep 2016,American
"United - $578: Miami - Berlin, Germany. Roundtrip, including all Taxes",578,0,"/November - early December/mid January, 2017 - March, 2017",10104,MIA - EWR (Newark) - TXL (Berlin) - EWR - MIA,"<li>Valid for travel on the outbound from November - early December or mid January, 2017 - March, 2017. Must purchase at least 3 days in advance of departure.</li>",16 Sep 2016,United
"WestJet - $195: Phoenix - Toronto, Canada. Roundtrip, including all Taxes",195,0,/late October - early November,3742,PHX - YYZ (Toronto) - PHX,<li>Valid for travel from late October - early November for Monday departure and returns. Must purchase at least 21 days in advance of departure.</li>,16 Sep 2016,WestJet
"British Airways - $744: Dallas - Nairobi, Kenya. Roundtrip, including all Taxes",744,0,"/November/January, 2017 - March, 2017",17968,DFW - LHR (London) - NBO (Nairobi) - LHR - DFW,"<li>Valid for travel on the outbound in November or January, 2017 - March, 2017. Must purchase at least 7 days in advance of departure</li>",16 Sep 2016,British Airways
"WOW Air - $292: Newark - London, England. Roundtrip, including all Taxes",292,0,"/late November - March, 2017",7613,EWR - KEF (Reykjavik) - LGW (London) - KEF - EWR,"<li>We found availability from late November - March, 2017.</li>",16 Sep 2016,WOW Air
"Scandinavian Airlines - $547: San Francisco - Stockholm, Sweden. Roundtrip, including all Taxes",547,0,"/November - March, 2017",11616,SFO - CPH (Copenhagen) - ARN (Stockholm) - CPH - SFO,"<li>Valid for travel from November - March, 2017. Availability is limited. Must purchase at least 7 days in advance of departure</li>",16 Sep 2016,Scandinavian Airlines
"[FARE GONE] American - $202: Los Angeles - Toronto, Canada. Roundtrip, including all Taxes",202,0,/mid October - early December,4888,LAX - CLT (Charlotte) - YYZ (Toronto) - LAX,<li>Valid for travel from mid October - early December for Monday departure and returns. Must purchase at least 21 days in advance of departure.</li>,16 Sep 2016,American
"United - $687: Baltimore / Boston - Taipei, Taiwan. Roundtrip, including all Taxes",687,0,"/Sep 17 2016 - early December/January, 2017 - April, 2017",17802,BWI - SFO (San Francisco) - TPE (Taipei) - SFO - BWI,"<li>Valid for travel on the outbound from until early December or January, 2017 - April, 2017 for Monday through Thursday departures and returns. A 7 day minimum stay is required. Must purchase at least 7 day in advance of departure.</li>",17 Sep 2016,United
"jetBlue - $218: New York - Albuquerque, New Mexico (and vice versa). Roundtrip, including all Taxes",218,1,"/Sep 17 2016 - early December/January, 2017 - April, 2017",3642,ABQ (Albuquerque) - JFK - ABQ (Albuquerque)/JFK - ABQ (Albuquerque) - JFK,"<li>Valid for travel until early December or January, 2017 - April, 2017. Must purchase at least 21 days in advance of departure.</li>",17 Sep 2016,jetBlue
"Visit 2 Cities - Icelandair - $403: Chicago - Copenhagen, Denmark and Reykjavik, Iceland. Roundtrip, including all Taxes",403,0,"/January, 2017 - March, 2017",8530,ORD - KEF (Reykjavik) - CPH (Copenhagen) - KEF - ORD,"<li>Valid for travel from January, 2017 - March, 2017. Free stopover in Reykjavik for up to 7 days. Must purchase at least 1day in advance of departure</li>",17 Sep 2016,Icelandair
"Singapore Air - $446: Los Angeles - Tokyo, Japan. Roundtrip, including all Taxes",446,0,Not Found,10870,LAX - NRT (Tokyo) - LAX,Not Found,17 Sep 2016,Singapore Air
"American - $231 - $251: Philadelphia - Portland, Oregon / Phoenix, Arizona (and vice versa). Roundtrip, including all Taxes",231,1,/October,4820,PDX (Portland) - ORD (Chicago) - PHL - ORD - PDX (Portland)/PHL - ORD (Chicago) - PDX (Portland) - ORD - PHL,<li>Valid for travel in October. Availability is limited. Must purchase at least 14 days in advance of departure</li>,17 Sep 2016,American
"Air Canada - $928: Seattle - Sydney, Australia. Roundtrip, including all Taxes",928,0,/October,15778,SEA - YVR (Vancouver) - SYD (Sydney) - YVR - SEA,<li>Valid for travel in October. Availability is limited. Must purchase at least 7 days in advance of departure</li>,17 Sep 2016,Air Canada
"Qatar Airways - $723: Dallas - Dubai, United Arab Emirates. Roundtrip, including all Taxes",723,0,/Sep 14 2016 - November,16300,DFW - DOH (Doha) - DWC - DOH - DFW,<li>Valid for travel on the outbound until November for Sunday through Wednesday departures from the United States and Monday through Thursday departures to the United States. A 7 day minimum stay is required. Must purchase at least 1 day in advance of departure</li>,14 Sep 2016,Qatar Airways
"[FARE GONE] American - $203: Seattle / Salt Lake City - San Juan / St. Thomas / St. Croix. Roundtrip, including all Taxes",203,0,"/November - early December/January, 2017 - early February, 2017",7579,SEA - CLT (Charlotte) - SJU (San Juan) - DFW (Dallas) - SEA,"<li>Valid for travel from November - early December or January, 2017 - early February, 2017. Availability is limited. Must purchase at least 14 days in advance of departure and by <strong>September 14th (TODAY)</strong></li>",14 Sep 2016,American
"Delta - $205: San Francisco / Denver / Houston - Toronto, Canada. Roundtrip, including all Taxes",205,0,/Sep 14 2016 - early June,4517,SFO - SLC (Salt Lake City) - YYZ (Toronto) - DTW (Detroit) - SFO,<li>Valid for travel until early June. Must purchase at least 21 days in advance of departure.</li>,14 Sep 2016,Delta
"[FARE GONE] American - $236: United States - Panama City, Panama. Roundtrip, including all Taxes",236,0,/October - November,4480,EWR - MIA (Miami) - PTY (Panama City) - MIA - LGA,<li>Valid for travel until from October - November. Availability is limited. Must purchase at least 21 days in advance of departure and by <strong>September 15th (TODAY)</strong></li>,15 Sep 2016,American
"jetBlue - $203: Washington D.C. / Baltimore - Aguadilla, Puerto Rico. Roundtrip, including all Taxes",203,0,/October - early November,3772,DCA - FLL (Fort Lauderdale) - BQN (Aguadilla) - FLL - DCA,<li>Valid for travel from October - early November. Availability is limited. Must purchase at least 21 days in advance of departure</li>,15 Sep 2016,jetBlue
"American - $308: New York - Guayquil / Quito, Ecuador. Roundtrip, including all Taxes",308,0,/October,6056,LGA - MIA (Miami) - GYE (Guayaquil) - MIA - LGA,<li>Valid for travel in October. Availability is limited. Must purchase at least 3 days in advance of departure</li>,15 Sep 2016,American
"American - $488 - $511: Chicago / Boston / New York / Washington D.C. - Luxembourg. Roundtrip, including all Taxes",488,0,"/mid December/mid January, 2017 - March, 2017",8518,ORD - LHR (London) - LUX (Luxembourg) - LHR - ORD,"<li>Valid for travel on the outbound from mid January, 2017 - March, 2017. Also available for travel in mid December for about the same price. A 7 day minimum stay is required. Availability is extremely limited. Must purchase at least 90 days in advance of departure</li>",15 Sep 2016,American
"All Nippon Airways - $535: Los Angeles - Osaka, Japan. Roundtrip, including all Taxes",535,0,/November - early December,11444,LAX - NRT (Tokyo - Narita) - ITM (Osaka) - NRT - LAX,<li>Valid for travel on the outbound from November - early December for Monday through Thursday departure and returns. Must purchase at least 3 days in advance of departure</li>,15 Sep 2016,All Nippon Airways
"Qatar Airways - $830: Philadelphia - Bali, Indonesia. Roundtrip, including all Taxes",830,0,/mid October - November,11670,PHL - DOH (Doha) - DPS (Bali - Denpasar) - DOH - PHL,<li>Valid for travel on the outbound from mid October - November for Sunday through Wednesday departures and Monday through Thursday returns. A 7 day minimum stay is required. Must purchase at least 3 days in advance of departure</li>,15 Sep 2016,Qatar Airways
"American - $86: Dallas - Minneapolis (and vice versa). Roundtrip, including all Taxes",86,1,/late October - early November,1704,MSP (Minneapolis) - DFW - MSP (Minneapolis)/DFW - MSP (Minneapolis) - DFW,<li>Valid for travel from late October - early November or early December. Availability is limited. Must purchase at least 21 days in advance of departure</li>,15 Sep 2016,American
"The Shorthaul - WestJet - $92: Boston - Toronto, Canada. Roundtrip, including all Taxes",92,0,/mid October - early December,888,BOS - YYZ (Toronto) - BOS,<li>Valid for travel from mid October - early December for Saturday departure and returns. Must purchase at least 21 days in advance of departure.</li>,15 Sep 2016,WestJet
"Austrian - $551: Miami - Vienna, Austria. Roundtrip, including all Taxes",551,0,"/mid October - early December/mid January, 2017 - March, 2017",10414,MIA - VIE (Vienna) - MIA,"<li>Valid for travel on the outbound from mid October - early December or mid January, 2017 - March, 2017. Must purchase at least 14 days in advance of departure</li>",15 Sep 2016,Austrian
"[FARE GONE] American - $377: Seattle - Punta Cana, Dominican Republic. Roundtrip, including all Taxes",377,0,"/October - November/January, 2017 - early May, 2017",7260,SEA - MIA (Miami) - PUJ (Punta Cana) - MIA - SEA,"<li>Valid for travel from October - November or January, 2017 - early May, 2017 . Availability is extremely limited - just a few dates per month. Must purchase at least 21 days in advance of departure.</li>",15 Sep 2016,American
"Delta - $528 - $574: Portland / Phoenix - Guangzhou, China. Roundtrip, including all Taxes",528,0,/mid October - November,16098,PDX - LAX (Los Angeles) - PVG (Shanghai) - CAN (Guangzhou) - PVG (Shanghai) - LAX - PDX,<li><strong>Portland:</strong> Valid for travel on the outbound from mid October - November for Monday through Thursday departure and returns. Must purchase at least 3 days in advance of departure.</li>,15 Sep 2016,Delta
"Austrian - $528: Chicago - Vienna, Austria. Roundtrip, including all Taxes",528,0,"/mid October - mid December/January 11th, 2017 - March, 2017",9429,ORD - VIE (Vienna) - ORD,"<li>Valid for travel on the outbound from mid October - mid December or January 11th, 2017 - March, 2017. Must purchase at least 14 days in advance of departure</li>",13 Sep 2016,Austrian
"Delta - $247 - $299: Los Angeles / Phoenix - Fairbanks, Alaska (and vice versa). Roundtrip, including all Taxes",247,1,/early November,4966,FAI (Fairbanks) - SEA (Seattle) - LAX - SEA - FAI (Fairbanks)/LAX - SEA (Seattle) - FAI (Fairbanks) - SEA - LAX,<li><strong>Los Angeles:</strong> Valid for travel in early November. Availability is limited. Must purchase at least 14 days in advance of departure</li>,13 Sep 2016,Delta
"Air Canada - $443: Philadelphia / Boston / New York / Washington D.C. - Brussels, Belgium. Roundtrip, including all Taxes",443,0,/mid December,7686,PHL - YUL (Montreal) - BRU (Brussels) - YUL - PHL,<li>Valid for travel on the outbound in mid December. Availability is extremely limited. Must purchase at least 90 days in advance of departure</li>,13 Sep 2016,Air Canada
"Qatar Airways - $700: Dallas - Singapore. Roundtrip, including all Taxes",700,0,"/Sep 13 2016 - November/January, 2017 - May, 2017",23577,DFW - DOH (Doha) - SIN (Singapore) - DOH - DFW,"<li>Valid for travel on the outbound from until November or January, 2017 - May, 2017 for Sunday through Wednesday departures and Monday through Thursday returns. A 7 day minimum stay is required. Must purchase at least 3 days in advance of departure</li>",13 Sep 2016,Qatar Airways
"Swiss - $522: Miami - Zurich, Switzerland. Roundtrip, including all Taxes",522,0,"/mid October - early December/mid January, 2017 - March, 2017",9744,MIA - ZRH (Zurich) - MIA,"<li>Valid for travel on the outbound from mid October - early December or mid January, 2017 - March, 2017. Must purchase at least 14 days in advance of departure</li>",13 Sep 2016,Swiss
"American - $502: Seattle - Luxembourg. Roundtrip, including all Taxes",502,0,/mid December,11814,SEA - LHR (London) - LUX (Luxembourg) - LHR - DFW (Dallas) - SEA,<li>Valid for travel on the outbound in mid December. A 7 day minimum stay is required. Availability is extremely limited. Must purchase at least 90 days in advance of departure</li>,13 Sep 2016,American
"American - $200 - $312: Miami / Chicago / Dallas / Detroit - Havana, Cuba. Roundtrip, including all Taxes",200,0,"/November 30th - early December/late January, 2017 - February, 2017",470,MIA - HAV (Havana) - MIA,"<li>Valid for travel from November 30th - early December or late January, 2017 - February, 2017. Must purchase at least 21 days in advance of departure
<ul>
<li>There could be availability after February, we did not have the time to manually check.</li>
</ul>
</li>",13 Sep 2016,American
"Alaska Air - $236: San Jose, California - Newark, New Jersey (and vice versa). Roundtrip, including all Taxes",236,1,"/March 12th, 2017 - May 25th, 2017",5080,EWR (Newark) - SJC - EWR (Newark)/SJC - EWR (Newark) - SJC,"<li>Valid for travel from March 12th, 2017 - May 25th, 2017 for Tuesday, Wednesday and Saturday departure and returns. Availability in limited. Must purchase at least 21 days in advance of departure</li>",13 Sep 2016,Alaska Air
"Delta - $283: Baltimore - San Diego / Palm Springs (and vice versa). Roundtrip, including all Taxes",283,1,/Sep 14 2016 - mid December,4844,SAN (San Diego) - SLC (Salt Lake City) - BWI - DTW (Detroit) - SAN (San Diego)/BWI - SLC (Salt Lake City) - SAN (San Diego) - DTW (Detroit) - BWI,<li><strong>San</strong> <strong>Diego:</strong> Valid for travel until mid December. Must purchase at least 21 days in advance of departure</li>,14 Sep 2016,Delta
"WOW Air - $230: Newark - Reykjavik, Iceland. Roundtrip, including all Taxes",230,0,"/mid January, 2017 - March, 2017",5202,EWR - KEF (Reykjavik) - EWR,"<li>Valid for travel from mid January, 2017 - March, 2017.</li>",14 Sep 2016,WOW Air
"American - $504: Chicago - Munich, Germany. Roundtrip, including all Taxes",504,0,/mid December,9586,ORD - PHL (Philadelphia) - MUC (Munich) - PHL - ORD,<li>Valid for travel on the outbound in mid December. A 7 day minimum stay is required. Must purchase at least 90 days in advance of departure</li>,14 Sep 2016,American
"All Nippon Airways - $532: Los Angeles - Okinawa, Japan. Roundtrip, including all Taxes",532,0,/November - early December,12837,LAX - NRT (Tokyo - Narita) // HND (Tokyo - Haneda) - OKA (Okinawa) - NRT - LAX,<li>Valid for travel on the outbound from November - early December for Monday through Thursday departure and returns. Must purchase at least 3 days in advance of departure</li>,14 Sep 2016,All Nippon Airways
"jetBlue - $316: Philadelphia - Barbados. Roundtrip, including all Taxes",316,0,/Sep 14 2016 - early November,5212,PHL - FLL (Fort Lauderdale) - BGI (Barbados) - FLL - PHL,<li>Valid for travel until early November. Availability is limited. Must purchase at least 7 days in advance of departure</li>,14 Sep 2016,jetBlue
"jetBlue - $111 - $194: New York / Boston / Fort Lauderdale - San Juan, Puerto Rico. Roundtrip, including all Taxes",111,0,Not Found,3195,JFK - SJU (San Juan) - JFK,Not Found,14 Sep 2016,jetBlue
"United - $659: Boston - Hong Kong. Roundtrip, including all Taxes",659,0,"/mid October - early December/late January, 2017 - early May, 2017",16972,BOS - ORD (Chicago) - HKG (Hong Kong) - EWR (Newark) - BOS,"<li>Valid for travel on the outbound from mid October - early December or late January, 2017 - early May, 2017 for Sunday through Thursday departures and returns. A 7 day minimum stay is required. Must purchase at least 28 days in advance of departure.</li>",14 Sep 2016,United
"American - $110: Philadelphia - Kansas City (and vice versa). Roundtrip, including all Taxes",110,1,/Sep 11 2016 - November,2072,MCI (Kansas City) - PHL - MCI (Kansas City)/PHL - MCI (Kansas City) - PHL,<li>Valid for travel until November. Must purchase at least 7 days in advance of departure</li>,11 Sep 2016,American
"American - $86: Dallas - Milwaukee (and vice versa). Roundtrip, including all Taxes",86,1,/Sep 11 2016 - early December,1706,MKE (Milwaukee) - DFW - MKE (Milwaukee)/DFW - MKE (Milwaukee) - DFW,<li>Valid for travel until early December. Must purchase at least 7 days in advance of departure</li>,11 Sep 2016,American
"American - $170: Phoenix - Atlanta (and vice versa). Roundtrip, including all Taxes",170,1,/mid October - November,3166,ATL (Atlanta) - PHX - ATL (Atlanta)/PHX - ATL (Atlanta) - PHX,<li>Valid for travel from mid October - November. Availability is limited. Must purchase at least 7 days in advance of departure a</li>,11 Sep 2016,American
"American - $444: Boston - Helsinki, Finland. Roundtrip, including all Taxes",444,0,"/January, 2017 - March, 2017",8390,BOS - JFK (New York) - HEL (Helsinki) - JFK - BOS,"<li>Valid for travel on the outbound from January, 2017 - March, 2017. Must purchase at least 90 days in advance of departure</li>",11 Sep 2016,American
"American - $298: Portland - New York (and vice versa). Roundtrip, including all Taxes",298,1,/Sep 11 2016 - mid November,5817,LGA (New York) - DFW (Dallas) - PDX - CLT (Charlotte) - LGA (New York)/PDX - DFW (Dallas) - LGA (New York) - CLT (Charlotte) - PDX,<li>Valid for travel until mid November. Availability is limited. Must purchase at least 7 days in advance of departure</li>,11 Sep 2016,American
"United / Delta - $227: San Francisco - Atlanta (and vice versa). Roundtrip, including all Taxes",227,1,"/Sep 11 2016 - February, 2017",4266,ATL (Atlanta) - SFO - ATL (Atlanta)/SFO - ATL (Atlanta) - SFO,"<li>Valid for travel until February, 2017. Availability is limited. Must purchase at least 21 days in advance of departure a</li>",11 Sep 2016,United / Delta
"Norwegian - $286: New York - Copenhagen, Denmark. Roundtrip, including all Taxes",286,0,"/January, 2017 - February, 2017",7712,JFK - CPH (Copenhagen) - JFK,"<li>Valid for travel from January, 2017 - February, 2017. Availability is limited.</li>",11 Sep 2016,Norwegian
